"Statistic","Year","Area of Origin","UNIT","VALUE"
"Producer Capital Goods","1960","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1960","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1960","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1961","All Countries","Euro Thousand","44295"
"Producer Capital Goods","1961","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1961","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1961","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1962","All Countries","Euro Thousand","49972"
"Producer Capital Goods","1962","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1962","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1962","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1963","All Countries","Euro Thousand","60078"
"Producer Capital Goods","1963","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1963","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1963","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1964","All Countries","Euro Thousand","66241"
"Producer Capital Goods","1964","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1964","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1964","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1965","All Countries","Euro Thousand","76625"
"Producer Capital Goods","1965","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1965","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1965","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1966","All Countries","Euro Thousand","73457"
"Producer Capital Goods","1966","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1966","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1966","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1967","All Countries","Euro Thousand","74675"
"Producer Capital Goods","1967","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1967","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1967","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1968","All Countries","Euro Thousand","92272"
"Producer Capital Goods","1968","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1968","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1968","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1969","All Countries","Euro Thousand","142635"
"Producer Capital Goods","1969","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1969","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1969","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1970","All Countries","Euro Thousand","145895"
"Producer Capital Goods","1970","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1970","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1970","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1971","All Countries","Euro Thousand","169393"
"Producer Capital Goods","1971","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1971","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1971","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1972","All Countries","Euro Thousand","175931"
"Producer Capital Goods","1972","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1972","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1972","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1973","All Countries","Euro Thousand","243518"
"Producer Capital Goods","1973","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1973","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1973","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1974","All Countries","Euro Thousand","286203"
"Producer Capital Goods","1974","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1974","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1974","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1975","All Countries","Euro Thousand","302349"
"Producer Capital Goods","1975","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1975","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1975","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1976","All Countries","Euro Thousand","404494"
"Producer Capital Goods","1976","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1976","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1976","Great Britain and Northern Ireland","Euro Thousand",""
"Producer Capital Goods","1977","All Countries","Euro Thousand","563637"
"Producer Capital Goods","1977","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1977","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","168875"
"Producer Capital Goods","1977","Great Britain and Northern Ireland","Euro Thousand","246964"
"Producer Capital Goods","1978","All Countries","Euro Thousand","738480"
"Producer Capital Goods","1978","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1978","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","199857"
"Producer Capital Goods","1978","Great Britain and Northern Ireland","Euro Thousand","352733"
"Producer Capital Goods","1979","All Countries","Euro Thousand","975159"
"Producer Capital Goods","1979","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1979","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","277057"
"Producer Capital Goods","1979","Great Britain and Northern Ireland","Euro Thousand","434885"
"Producer Capital Goods","1980","All Countries","Euro Thousand","950145"
"Producer Capital Goods","1980","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1980","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","244708"
"Producer Capital Goods","1980","Great Britain and Northern Ireland","Euro Thousand","436917"
"Producer Capital Goods","1981","All Countries","Euro Thousand","1155081"
"Producer Capital Goods","1981","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1981","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","280739"
"Producer Capital Goods","1981","Great Britain and Northern Ireland","Euro Thousand","442885"
"Producer Capital Goods","1982","All Countries","Euro Thousand","1198125"
"Producer Capital Goods","1982","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1982","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","288611"
"Producer Capital Goods","1982","Great Britain and Northern Ireland","Euro Thousand","423331"
"Producer Capital Goods","1983","All Countries","Euro Thousand","1190887"
"Producer Capital Goods","1983","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1983","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","315784"
"Producer Capital Goods","1983","Great Britain and Northern Ireland","Euro Thousand","395396"
"Producer Capital Goods","1984","All Countries","Euro Thousand","1376650"
"Producer Capital Goods","1984","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1984","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","352225"
"Producer Capital Goods","1984","Great Britain and Northern Ireland","Euro Thousand","458756"
"Producer Capital Goods","1985","All Countries","Euro Thousand","1428581"
"Producer Capital Goods","1985","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1985","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","354638"
"Producer Capital Goods","1985","Great Britain and Northern Ireland","Euro Thousand","441273"
"Producer Capital Goods","1986","All Countries","Euro Thousand","1336399"
"Producer Capital Goods","1986","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1986","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","385009"
"Producer Capital Goods","1986","Great Britain and Northern Ireland","Euro Thousand","394776"
"Producer Capital Goods","1987","All Countries","Euro Thousand","1446587"
"Producer Capital Goods","1987","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1987","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","326367"
"Producer Capital Goods","1987","Great Britain and Northern Ireland","Euro Thousand","414057"
"Producer Capital Goods","1988","All Countries","Euro Thousand","1570792"
"Producer Capital Goods","1988","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1988","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","388037"
"Producer Capital Goods","1988","Great Britain and Northern Ireland","Euro Thousand","447585"
"Producer Capital Goods","1989","All Countries","Euro Thousand","2097711"
"Producer Capital Goods","1989","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1989","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","574951"
"Producer Capital Goods","1989","Great Britain and Northern Ireland","Euro Thousand","561971"
"Producer Capital Goods","1990","All Countries","Euro Thousand","2125728"
"Producer Capital Goods","1990","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1990","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","536621"
"Producer Capital Goods","1990","Great Britain and Northern Ireland","Euro Thousand","614156"
"Producer Capital Goods","1991","All Countries","Euro Thousand","1954675"
"Producer Capital Goods","1991","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1991","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","428478"
"Producer Capital Goods","1991","Great Britain and Northern Ireland","Euro Thousand","573797"
"Producer Capital Goods","1992","All Countries","Euro Thousand","1808357"
"Producer Capital Goods","1992","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1992","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","382496"
"Producer Capital Goods","1992","Great Britain and Northern Ireland","Euro Thousand","559803"
"Producer Capital Goods","1993","All Countries","Euro Thousand","1764682"
"Producer Capital Goods","1993","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1993","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","383969"
"Producer Capital Goods","1993","Great Britain and Northern Ireland","Euro Thousand","510435"
"Producer Capital Goods","1994","All Countries","Euro Thousand","2164396"
"Producer Capital Goods","1994","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1994","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","524021"
"Producer Capital Goods","1994","Great Britain and Northern Ireland","Euro Thousand","656836"
"Producer Capital Goods","1995","All Countries","Euro Thousand","2609058"
"Producer Capital Goods","1995","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1995","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","659502"
"Producer Capital Goods","1995","Great Britain and Northern Ireland","Euro Thousand","773778"
"Producer Capital Goods","1996","All Countries","Euro Thousand","3038610"
"Producer Capital Goods","1996","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1996","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","865453"
"Producer Capital Goods","1996","Great Britain and Northern Ireland","Euro Thousand","953827"
"Producer Capital Goods","1997","All Countries","Euro Thousand","3834482"
"Producer Capital Goods","1997","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1997","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1027345"
"Producer Capital Goods","1997","Great Britain and Northern Ireland","Euro Thousand","1069119"
"Producer Capital Goods","1998","All Countries","Euro Thousand","5175452"
"Producer Capital Goods","1998","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1998","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1276214"
"Producer Capital Goods","1998","Great Britain and Northern Ireland","Euro Thousand","1391506"
"Producer Capital Goods","1999","All Countries","Euro Thousand","6511852"
"Producer Capital Goods","1999","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","1999","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1718337"
"Producer Capital Goods","1999","Great Britain and Northern Ireland","Euro Thousand","1555810"
"Producer Capital Goods","2000","All Countries","Euro Thousand","8082300"
"Producer Capital Goods","2000","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2000","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2543300"
"Producer Capital Goods","2000","Great Britain and Northern Ireland","Euro Thousand","1775500"
"Producer Capital Goods","2001","All Countries","Euro Thousand","7592200"
"Producer Capital Goods","2001","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2001","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2859200"
"Producer Capital Goods","2001","Great Britain and Northern Ireland","Euro Thousand","1583400"
"Producer Capital Goods","2002","All Countries","Euro Thousand","7501600"
"Producer Capital Goods","2002","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2002","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2831400"
"Producer Capital Goods","2002","Great Britain and Northern Ireland","Euro Thousand","1298900"
"Producer Capital Goods","2003","All Countries","Euro Thousand","7228300"
"Producer Capital Goods","2003","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2003","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","3085500"
"Producer Capital Goods","2003","Great Britain and Northern Ireland","Euro Thousand","1256500"
"Producer Capital Goods","2004","All Countries","Euro Thousand","7949100"
"Producer Capital Goods","2004","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2004","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","3818500"
"Producer Capital Goods","2004","Great Britain and Northern Ireland","Euro Thousand","1446700"
"Producer Capital Goods","2005","All Countries","Euro Thousand","10241300"
"Producer Capital Goods","2005","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2005","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","3960300"
"Producer Capital Goods","2005","Great Britain and Northern Ireland","Euro Thousand","1715700"
"Producer Capital Goods","2006","All Countries","Euro Thousand","11120500"
"Producer Capital Goods","2006","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2006","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","4486900"
"Producer Capital Goods","2006","Great Britain and Northern Ireland","Euro Thousand","1626900"
"Producer Capital Goods","2007","All Countries","Euro Thousand","12026700"
"Producer Capital Goods","2007","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2007","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","6023500"
"Producer Capital Goods","2007","Great Britain and Northern Ireland","Euro Thousand","1931000"
"Producer Capital Goods","2008","All Countries","Euro Thousand","9645100"
"Producer Capital Goods","2008","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2008","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","4175400"
"Producer Capital Goods","2008","Great Britain and Northern Ireland","Euro Thousand","1494600"
"Producer Capital Goods","2009","All Countries","Euro Thousand","10256600"
"Producer Capital Goods","2009","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2009","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","4102300"
"Producer Capital Goods","2009","Great Britain and Northern Ireland","Euro Thousand","862400"
"Producer Capital Goods","2010","All Countries","Euro Thousand","8997500"
"Producer Capital Goods","2010","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2010","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","3561200"
"Producer Capital Goods","2010","Great Britain and Northern Ireland","Euro Thousand","907700"
"Producer Capital Goods","2011","All Countries","Euro Thousand","10699100"
"Producer Capital Goods","2011","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2011","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","4010100"
"Producer Capital Goods","2011","Great Britain and Northern Ireland","Euro Thousand","961900"
"Producer Capital Goods","2012","All Countries","Euro Thousand","13285800"
"Producer Capital Goods","2012","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2012","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","5658800"
"Producer Capital Goods","2012","Great Britain and Northern Ireland","Euro Thousand","1056400"
"Producer Capital Goods","2013","All Countries","Euro Thousand","11566100"
"Producer Capital Goods","2013","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2013","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","4845400"
"Producer Capital Goods","2013","Great Britain and Northern Ireland","Euro Thousand","1217900"
"Producer Capital Goods","2014","All Countries","Euro Thousand","15010900"
"Producer Capital Goods","2014","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2014","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","7469100"
"Producer Capital Goods","2014","Great Britain and Northern Ireland","Euro Thousand","1239600"
"Producer Capital Goods","2015","All Countries","Euro Thousand","17657700"
"Producer Capital Goods","2015","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2015","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","9492500"
"Producer Capital Goods","2015","Great Britain and Northern Ireland","Euro Thousand","1462700"
"Producer Capital Goods","2016","All Countries","Euro Thousand","21491500"
"Producer Capital Goods","2016","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2016","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","11303500"
"Producer Capital Goods","2016","Great Britain and Northern Ireland","Euro Thousand","1503700"
"Producer Capital Goods","2017","All Countries","Euro Thousand","25748525"
"Producer Capital Goods","2017","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2017","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","13924856"
"Producer Capital Goods","2017","Great Britain and Northern Ireland","Euro Thousand","1613500"
"Producer Capital Goods","2018","All Countries","Euro Thousand","28041499"
"Producer Capital Goods","2018","European Union - 27 countries (from 2020)","Euro Thousand",""
"Producer Capital Goods","2018","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","11780834"
"Producer Capital Goods","2018","Great Britain and Northern Ireland","Euro Thousand","1746132"
"Producer Capital Goods","2019","All Countries","Euro Thousand","27331019"
"Producer Capital Goods","2019","European Union - 27 countries (from 2020)","Euro Thousand","."
"Producer Capital Goods","2019","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","14367652"
"Producer Capital Goods","2019","Great Britain and Northern Ireland","Euro Thousand","1887779"
"Producer Capital Goods","2020","All Countries","Euro Thousand","19419002"
"Producer Capital Goods","2020","European Union - 27 countries (from 2020)","Euro Thousand","10056174"
"Producer Capital Goods","2020","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","."
"Producer Capital Goods","2020","Great Britain and Northern Ireland","Euro Thousand","2584067"
"Consumption Goods","1938","All Countries","Euro Thousand","16438"
"Consumption Goods","1938","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1938","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1938","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1939","All Countries","Euro Thousand",""
"Consumption Goods","1939","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1939","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1939","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1940","All Countries","Euro Thousand",""
"Consumption Goods","1940","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1940","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1940","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1941","All Countries","Euro Thousand",""
"Consumption Goods","1941","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1941","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1941","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1942","All Countries","Euro Thousand",""
"Consumption Goods","1942","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1942","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1942","Great Britain and Northern Ireland","Euro Thousand",""
